Accession,Description,# peptides,Average ratio,StDev
SL3413,elongation factor G 3621040:3623154 reverse MW:77600,27.0,0.7023840373153667,0.09
SL4092,"DNA-directed RNA polymerase, beta-subunit 4387239:4391267 forward MW:150603",23.0,0.7882871210158071,0.15
SL3397,50S ribosomal subunit protein L14 3612521:3612892 reverse MW:13568,4.0,0.8034464887276496,0.04
SL0153,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase 178922:180811 forward MW:66055,7.0,0.8317439751230888,0.05
SL4299,adenylosuccinate synthetase 4629676:4630974 forward MW:47377,3.0,0.8367970976937029,0.07
SL3404,50S ribosomal subunit protein L2 3615285:3616106 reverse MW:29820,9.0,0.8388183467219487,0.09
SL1708,Ribose-phosphate pyrophosphokinase 1834614:1835561 forward MW:34184,3.0,0.9034983156258097,0.2
SL0720,succinyl-CoA synthetase beta chain 805322:806488 forward MW:41497,9.0,0.9227001813941436,0.08
SL2646,50S ribosomal protein L19. Chloroplast 50S ribosomal protein L19. 2826061:2826408 reverse MW:13130,2.0,0.9297745529930034,0.07
SL0159,aconitate hydratase 2 (citrate hydro-lyase 2) 185853:188450 forward MW:93498,7.0,0.9843482767556361,0.03
SL3406,50S ribosomal subunit protein L4 3616423:3617028 reverse MW:22086,10.0,0.9924332728686187,0.13
SL1010,outer membrane protein A 1117287:1118339 reverse MW:37515,14.0,1.0055713915522155,0.23
SL0721,succinyl-CoA synthetase alpha chain 806488:807357 forward MW:29775,4.0,1.0106245141228296,0.09
SL0808,outer membrane protein F precursor 898795:899310 forward MW:18494,4.0,1.0419538740606373,0.27
SL2450,phosphoribosylaminoimidazole-succinocarboxamide synthase 2599820:2600533 reverse MW:26908,5.0,1.0591344908007256,0.04
SL0662,asparagine synthetase B 738350:740014 reverse MW:62573,13.0,1.075304483026691,0.11
SL0218,Elongation factor Ts 255276:256127 forward MW:30358,9.0,1.0773257320549363,0.2
SL4090,50S ribosomal subunit protein L10 4385992:4386489 forward MW:17800,4.0,1.0823788546255508,0.03
SL0712,citrate synthase 795365:796648 reverse MW:48076,9.0,1.2743975123088884,0.17
SL1134,3-oxoacyl-[acyl-carrier-protein] synthase II 1236577:1237818 forward MW:42920,6.0,1.5765742420316142,0.16
SL0152,pyruvate dehydrogenase E1 component 176244:178907 forward MW:99580,10.0,2.035397771443379,0.21
SL3382,DNA-directed RNA polymerase alpha chain 3604783:3605772 reverse MW:36512,20.0,2.1293858512568025,0.45
SL3016,Lysyl-tRNA synthetase 3219939:3221456 reverse MW:57576,8.0,2.472998186058564,0.06
SL0068,carbamoyl-phosphate synthase large chain 77050:80277 forward MW:118140,14.0,4.229463591604043,0.24
SL3065,S-adenosylmethionine synthetase 3272395:3273549 forward MW:41953,6.0,6.130448302669085,1.21
