# BUSCO version is: 2.0.1 ,,,,
"# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)",,,,
# To reproduce this run: python /home/deepseq/tool/BUSCO_v2.0.1/BUSCO.py -i GIGMd_Trinity_Assembled_Supertranscripts_morethanquinientos.fasta.fa.ca -o 202004060334-TCNJ6C9A7M6N71CB_GIGMd_Trinity_500to10000 -l /home/deepseq/tool/BUSCO_v2.0.1/embryophyta_odb9/ -m tran -c 32 -sp arabidopsis,,,,
#,,,,
# Busco id,Status,Sequence,Score,Length
EOG093601CM,Duplicated,C0000020292_TRINITY_DN7934_c0_g2,733.7,568
EOG093601CX,Missing,,,
EOG093601DT,Complete,C0000020962_TRINITY_DN15303_c0_g1,1438.8,834
EOG093601FF,Fragmented,C0000019490_TRINITY_DN8139_c0_g1,1159.4,523
EOG093601FH,Complete,C0000012261_TRINITY_DN15214_c0_g1,583.1,350
EOG093601G4,Missing,,,
EOG093601IB,Missing,,,
EOG093601IL,Missing,,,
EOG093601IV,Complete,C0000015736_TRINITY_DN33470_c0_g1,676.8,388
EOG093601IY,Missing,,,
EOG093601KV,Missing,,,
EOG093601KY,Missing,,,
EOG093601LZ,Complete,C0000015351_TRINITY_DN535_c0_g1,460.9,252
EOG093601M6,Missing,,,
EOG093601MF,Missing,,,
EOG093601MT,Fragmented,C0000015856_TRINITY_DN9663_c0_g1,369.7,374
EOG093601NK,Missing,,,
EOG093601NU,Missing,,,
EOG093601OK,Missing,,,
EOG093601PF,Fragmented,C0000019778_TRINITY_DN10805_c0_g1,1286.7,644
EOG093601PJ,Missing,,,
EOG093601PV,Complete,C0000017735_TRINITY_DN8011_c0_g1,446.3,394
EOG093601Q7,Missing,,,
EOG093601QL,Fragmented,C0000013677_TRINITY_DN28795_c0_g1,378.8,299
EOG093601SL,Missing,,,
EOG093601SQ,Fragmented,C0000004236_TRINITY_DN12943_c0_g1,329.2,181
EOG093601T9,Missing,,,
EOG093601TO,Missing,,,
EOG093601TR,Missing,,,
EOG093601U2,Missing,,,
EOG093601UA,Complete,C0000017713_TRINITY_DN34196_c0_g1,876.5,489
EOG093601UC,Missing,,,
EOG093601V0,Fragmented,C0000016978_TRINITY_DN3582_c0_g1,701.8,417
EOG093601VD,Missing,,,
EOG093601WC,Missing,,,
EOG093601XR,Fragmented,C0000013061_TRINITY_DN25414_c0_g1,526.2,263
EOG093601Y2,Complete,C0000020710_TRINITY_DN24549_c0_g1,1042.3,736
EOG093601Y6,Missing,,,
EOG09360205,Missing,,,
EOG0936020C,Missing,,,
EOG0936020T,Missing,,,
EOG0936021K,Missing,,,
EOG09360236,Fragmented,C0000006772_TRINITY_DN34263_c0_g1,328.1,204
EOG0936023S,Complete,C0000020645_TRINITY_DN9593_c0_g1,1204.8,773
EOG0936024P,Fragmented,C0000016619_TRINITY_DN20002_c0_g1,969.3,490
EOG0936024U,Duplicated,C0000014927_TRINITY_DN8729_c0_g1,695.4,407
EOG0936024U,Duplicated,C0000014928_TRINITY_DN8729_c0_g2,695.4,407
EOG09360254,Missing,,,
EOG09360259,Missing,,,
EOG0936025H,Missing,,,
EOG0936025L,Complete,C0000021054_TRINITY_DN11460_c0_g1,756.1,702
EOG0936026P,Missing,,,
EOG0936026R,Fragmented,C0000016540_TRINITY_DN3383_c0_g1,300.0,332
EOG0936026Z,Missing,,,
EOG0936027I,Missing,,,
EOG0936028K,Fragmented,C0000015405_TRINITY_DN19681_c0_g1,650.0,406
EOG0936028O,Complete,C0000014138_TRINITY_DN6072_c0_g1,576.2,361
EOG0936028V,Missing,,,
EOG09360296,Fragmented,C0000020034_TRINITY_DN8269_c0_g1,1435.9,693
EOG093602A0,Complete,C0000020813_TRINITY_DN6366_c0_g1,1510.8,753
EOG093602C3,Missing,,,
EOG093602CL,Missing,,,
EOG093602E8,Missing,,,
EOG093602EO,Complete,C0000016765_TRINITY_DN24686_c0_g1,1055.9,499
EOG093602EU,Fragmented,C0000016404_TRINITY_DN9831_c0_g1,732.0,414
EOG093602F2,Complete,C0000017936_TRINITY_DN5443_c0_g1,1020.8,549
EOG093602FO,Missing,,,
EOG093602GP,Missing,,,
EOG093602H1,Missing,,,
EOG093602HL,Complete,C0000020705_TRINITY_DN8190_c0_g1,1355.5,641
EOG093602I0,Missing,,,
EOG093602IG,Missing,,,
EOG093602K0,Complete,C0000019685_TRINITY_DN8748_c0_g1,913.8,601
EOG093602KH,Missing,,,
EOG093602KV,Complete,C0000018250_TRINITY_DN6429_c0_g1,652.9,489
EOG093602LT,Duplicated,C0000007224_TRINITY_DN1158_c0_g1,113.5,145
EOG093602LT,Duplicated,C0000008486_TRINITY_DN1158_c0_g2,113.1,145
EOG093602MY,Missing,,,
EOG093602N6,Missing,,,
EOG093602O1,Missing,,,
EOG093602OJ,Missing,,,
EOG093602PW,Missing,,,
EOG093602QH,Missing,,,
EOG093602QV,Missing,,,
EOG093602RY,Missing,,,
EOG093602S0,Fragmented,C0000017098_TRINITY_DN28886_c0_g1,647.6,327
EOG093602SP,Complete,C0000019241_TRINITY_DN24107_c0_g1,846.9,566
EOG093602SW,Missing,,,
EOG093602T8,Missing,,,
EOG093602TY,Missing,,,
EOG093602U5,Missing,,,
EOG093602UL,Missing,,,
EOG093602V4,Complete,C0000020780_TRINITY_DN10206_c1_g1,1002.6,732
EOG093602VC,Missing,,,
EOG093602VE,Fragmented,C0000004523_TRINITY_DN19960_c0_g1,288.1,160
EOG093602VI,Missing,,,
EOG093602WA,Missing,,,
EOG093602X4,Fragmented,C0000004584_TRINITY_DN25171_c0_g1,359.2,220
EOG093602XV,Missing,,,
EOG093602XZ,Fragmented,C0000016413_TRINITY_DN21355_c0_g1,882.8,473
EOG093602Y5,Fragmented,C0000018849_TRINITY_DN20007_c0_g1,1029.1,564
EOG093602Y9,Fragmented,C0000019761_TRINITY_DN11220_c0_g1,735.5,362
EOG093602YD,Complete,C0000020552_TRINITY_DN6222_c0_g1,1041.4,624
EOG093602Z8,Missing,,,
EOG093602ZN,Missing,,,
EOG09360300,Missing,,,
EOG09360317,Fragmented,C0000015814_TRINITY_DN25576_c0_g1,939.6,432
EOG0936031D,Missing,,,
EOG0936031Y,Duplicated,C0000020880_TRINITY_DN9595_c0_g2,728.4,841
EOG0936031Y,Duplicated,C0000020917_TRINITY_DN5673_c0_g1,790.6,806
EOG0936031Y,Duplicated,C0000021103_TRINITY_DN10626_c0_g1,703.2,848
EOG0936032C,Fragmented,C0000003332_TRINITY_DN1227_c1_g1,274.1,183
EOG0936032P,Missing,,,
EOG0936033H,Missing,,,
EOG0936033V,Complete,C0000013222_TRINITY_DN30085_c0_g1,554.7,361
EOG09360353,Missing,,,
EOG09360358,Complete,C0000020240_TRINITY_DN54_c0_g1,1044.4,596
EOG0936035H,Missing,,,
EOG0936035T,Fragmented,C0000020268_TRINITY_DN349_c0_g1,1003.2,565
EOG0936035U,Fragmented,C0000012811_TRINITY_DN9485_c0_g1,685.1,332
EOG0936036G,Missing,,,
EOG0936036H,Missing,,,
EOG0936036V,Missing,,,
EOG0936037E,Missing,,,
EOG0936037T,Missing,,,
EOG0936037Y,Complete,C0000020118_TRINITY_DN29020_c0_g1,813.1,571
EOG09360383,Missing,,,
EOG0936038D,Complete,C0000019871_TRINITY_DN19680_c0_g1,1417.0,660
EOG0936038M,Fragmented,C0000011443_TRINITY_DN2287_c0_g1,448.1,251
EOG0936038S,Missing,,,
EOG0936038Z,Missing,,,
EOG09360391,Complete,C0000019824_TRINITY_DN29265_c0_g1,991.9,555
EOG09360394,Fragmented,C0000011150_TRINITY_DN30298_c0_g1,645.6,344
EOG093603DJ,Complete,C0000018336_TRINITY_DN34579_c0_g1,639.1,397
EOG093603DO,Missing,,,
EOG093603EX,Missing,,,
EOG093603F5,Missing,,,
EOG093603FC,Missing,,,
EOG093603FG,Missing,,,
EOG093603FS,Missing,,,
EOG093603GP,Missing,,,
EOG093603H7,Missing,,,
EOG093603HD,Complete,C0000018701_TRINITY_DN16038_c0_g1,872.4,471
EOG093603I2,Fragmented,C0000012240_TRINITY_DN34451_c0_g1,409.1,215
EOG093603IB,Missing,,,
EOG093603IM,Missing,,,
EOG093603J1,Complete,C0000020802_TRINITY_DN10284_c0_g1,1172.3,650
EOG093603J5,Missing,,,
EOG093603JD,Duplicated,C0000019964_TRINITY_DN10310_c0_g1,585.3,641
EOG093603JD,Duplicated,C0000020055_TRINITY_DN8295_c0_g1,585.9,637
EOG093603JD,Duplicated,C0000020148_TRINITY_DN3069_c0_g2,678.5,638
EOG093603K3,Complete,C0000019546_TRINITY_DN14815_c0_g1,820.6,499
EOG093603K7,Complete,C0000009608_TRINITY_DN4174_c0_g1,502.8,301
EOG093603K9,Missing,,,
EOG093603KJ,Missing,,,
EOG093603LQ,Missing,,,
EOG093603M5,Complete,C0000020164_TRINITY_DN20072_c0_g1,1225.9,612
EOG093603MT,Missing,,,
EOG093603NH,Missing,,,
EOG093603OJ,Missing,,,
EOG093603OL,Missing,,,
EOG093603OR,Missing,,,
EOG093603OV,Duplicated,C0000019957_TRINITY_DN9400_c0_g1,682.4,628
EOG093603OV,Duplicated,C0000021097_TRINITY_DN8195_c0_g1,609.1,632
EOG093603PK,Complete,C0000017087_TRINITY_DN14779_c0_g1,575.6,437
EOG093603PO,Complete,C0000018367_TRINITY_DN25156_c0_g1,971.2,547
EOG093603PW,Fragmented,C0000012367_TRINITY_DN19522_c0_g1,545.1,321
EOG093603QH,Missing,,,
EOG093603QQ,Complete,C0000017649_TRINITY_DN30550_c0_g1,847.1,459
EOG093603QT,Complete,C0000013348_TRINITY_DN21024_c0_g1,453.5,406
EOG093603RD,Missing,,,
EOG093603RW,Missing,,,
EOG093603SM,Missing,,,
EOG093603SR,Fragmented,C0000020714_TRINITY_DN9959_c0_g1,665.1,324
EOG093603SX,Missing,,,
EOG093603T3,Missing,,,
EOG093603TE,Complete,C0000005029_TRINITY_DN25811_c1_g1,219.4,205
EOG093603UO,Missing,,,
EOG093603UU,Complete,C0000015056_TRINITY_DN1461_c0_g1,288.8,299
EOG093603UW,Missing,,,
EOG093603VH,Fragmented,C0000014313_TRINITY_DN20468_c0_g1,298.9,303
EOG093603VX,Missing,,,
EOG093603VZ,Missing,,,
EOG093603W4,Complete,C0000020703_TRINITY_DN6403_c0_g1,1128.4,582
EOG093603W7,Fragmented,C0000010384_TRINITY_DN7108_c0_g1,692.7,321
EOG093603WH,Missing,,,
EOG093603WZ,Missing,,,
EOG093603XJ,Fragmented,C0000007495_TRINITY_DN3959_c0_g1,278.9,199
EOG093603XO,Missing,,,
EOG093603YN,Complete,C0000018707_TRINITY_DN20019_c0_g1,900.0,531
EOG093603Z1,Complete,C0000012655_TRINITY_DN24785_c0_g1,593.1,311
EOG093603ZW,Missing,,,
EOG0936040G,Missing,,,
EOG0936041E,Missing,,,
EOG0936041M,Missing,,,
EOG0936041Q,Complete,C0000021160_TRINITY_DN11573_c2_g1,1149.1,670
EOG0936041Y,Missing,,,
EOG09360424,Missing,,,
EOG0936042H,Complete,C0000019366_TRINITY_DN3668_c0_g1,694.5,481
EOG0936042R,Missing,,,
EOG09360439,Duplicated,C0000018486_TRINITY_DN6974_c0_g2,422.5,398
EOG09360439,Duplicated,C0000018564_TRINITY_DN6974_c0_g1,422.7,398
EOG0936043P,Complete,C0000019302_TRINITY_DN804_c0_g1,898.5,548
EOG0936043U,Complete,C0000020103_TRINITY_DN29805_c0_g1,1245.3,553
EOG0936044V,Missing,,,
EOG0936045K,Missing,,,
EOG0936046G,Missing,,,
EOG0936047E,Complete,C0000019061_TRINITY_DN6205_c0_g1,944.0,488
EOG0936048K,Complete,C0000018888_TRINITY_DN19838_c0_g1,1009.2,528
EOG09360490,Missing,,,
EOG0936049L,Missing,,,
EOG093604AJ,Missing,,,
EOG093604B8,Complete,C0000018482_TRINITY_DN19601_c0_g1,1008.2,520
EOG093604BC,Complete,C0000018967_TRINITY_DN30908_c0_g1,1203.2,546
EOG093604C7,Missing,,,
EOG093604CE,Fragmented,C0000016565_TRINITY_DN7970_c0_g2,611.6,368
EOG093604D2,Missing,,,
EOG093604D4,Complete,C0000018056_TRINITY_DN34032_c0_g1,1008.2,521
EOG093604D9,Complete,C0000020062_TRINITY_DN8092_c0_g1,1184.2,646
EOG093604DG,Missing,,,
EOG093604DM,Missing,,,
EOG093604F0,Complete,C0000015472_TRINITY_DN1630_c0_g1,769.6,390
EOG093604F6,Missing,,,
EOG093604FE,Fragmented,C0000017083_TRINITY_DN8976_c0_g1,804.4,453
EOG093604FM,Duplicated,C0000018625_TRINITY_DN3525_c0_g2,358.6,479
EOG093604FM,Duplicated,C0000019369_TRINITY_DN9813_c0_g1,392.6,520
EOG093604FM,Duplicated,C0000019654_TRINITY_DN7508_c0_g1,395.6,481
EOG093604HB,Complete,C0000018863_TRINITY_DN10304_c0_g1,1130.0,598
EOG093604HD,Missing,,,
EOG093604HI,Missing,,,
EOG093604HK,Missing,,,
EOG093604HV,Missing,,,
EOG093604IO,Missing,,,
EOG093604JQ,Missing,,,
EOG093604JS,Missing,,,
EOG093604JV,Missing,,,
EOG093604K0,Missing,,,
EOG093604KN,Complete,C0000014697_TRINITY_DN20035_c0_g1,434.5,291
EOG093604LD,Missing,,,
EOG093604LM,Fragmented,C0000017056_TRINITY_DN2989_c0_g1,880.5,509
EOG093604MP,Complete,C0000016767_TRINITY_DN202_c0_g1,828.8,406
EOG093604MW,Complete,C0000020010_TRINITY_DN286_c0_g2,1038.0,528
EOG093604MY,Missing,,,
EOG093604NO,Duplicated,C0000019731_TRINITY_DN5826_c0_g2,1105.9,543
EOG093604NO,Duplicated,C0000019734_TRINITY_DN5826_c0_g1,985.7,493
EOG093604OT,Missing,,,
EOG093604P1,Duplicated,C0000018902_TRINITY_DN6988_c0_g2,747.6,451
EOG093604P1,Duplicated,C0000018919_TRINITY_DN6988_c0_g1,861.0,517
EOG093604P6,Fragmented,C0000005716_TRINITY_DN30144_c0_g1,280.7,158
EOG093604PT,Complete,C0000017943_TRINITY_DN24845_c0_g1,750.3,473
EOG093604PU,Missing,,,
EOG093604QJ,Complete,C0000019160_TRINITY_DN1254_c0_g1,1086.4,604
EOG093604R2,Complete,C0000020254_TRINITY_DN5500_c0_g1,1315.1,673
EOG093604R6,Missing,,,
EOG093604R7,Missing,,,
EOG093604RL,Missing,,,
EOG093604SP,Fragmented,C0000020954_TRINITY_DN11174_c0_g1,196.0,93
EOG093604T4,Complete,C0000018252_TRINITY_DN3839_c0_g1,1028.8,502
EOG093604TP,Fragmented,C0000017624_TRINITY_DN6741_c0_g1,622.5,397
EOG093604TS,Complete,C0000018913_TRINITY_DN327_c0_g1,861.5,485
EOG093604U7,Duplicated,C0000019894_TRINITY_DN1639_c0_g2,868.9,516
EOG093604U7,Duplicated,C0000019895_TRINITY_DN1639_c0_g1,868.9,516
EOG093604UF,Missing,,,
EOG093604V6,Missing,,,
EOG093604VR,Complete,C0000020879_TRINITY_DN6430_c0_g1,336.1,423
EOG093604W6,Missing,,,
EOG093604WD,Fragmented,C0000015627_TRINITY_DN10037_c0_g2,799.5,408
EOG093604WH,Missing,,,
EOG093604WU,Missing,,,
EOG093604X5,Complete,C0000020304_TRINITY_DN11308_c0_g1,223.3,317
EOG093604XX,Complete,C0000019308_TRINITY_DN29019_c0_g1,750.3,472
EOG093604Y6,Fragmented,C0000018805_TRINITY_DN8251_c0_g3,759.4,414
EOG093604YC,Complete,C0000013586_TRINITY_DN4273_c0_g2,569.7,307
EOG093604YI,Fragmented,C0000016620_TRINITY_DN24516_c0_g1,602.6,374
EOG093604YO,Complete,C0000019433_TRINITY_DN8761_c0_g1,980.0,546
EOG093604Z0,Missing,,,
EOG093604ZI,Missing,,,
EOG093604ZR,Complete,C0000020586_TRINITY_DN11461_c0_g1,1192.4,643
EOG0936051T,Fragmented,C0000007873_TRINITY_DN1235_c0_g1,505.6,273
EOG09360525,Fragmented,C0000016141_TRINITY_DN20020_c0_g1,1032.4,464
EOG0936052S,Fragmented,C0000010805_TRINITY_DN33581_c0_g1,391.9,249
EOG0936053E,Missing,,,
EOG0936053F,Missing,,,
EOG09360541,Fragmented,C0000016761_TRINITY_DN24519_c0_g1,837.5,484
EOG09360548,Complete,C0000019646_TRINITY_DN19446_c0_g1,815.1,474
EOG0936054G,Missing,,,
EOG09360557,Complete,C0000016704_TRINITY_DN12606_c0_g1,982.9,491
EOG09360558,Missing,,,
EOG0936055I,Complete,C0000020669_TRINITY_DN8128_c0_g1,805.4,635
EOG0936055R,Complete,C0000018105_TRINITY_DN29952_c0_g1,382.2,484
EOG0936056C,Complete,C0000019072_TRINITY_DN28877_c0_g1,979.4,478
EOG0936056J,Fragmented,C0000013267_TRINITY_DN17252_c0_g1,599.2,372
EOG0936057B,Complete,C0000016466_TRINITY_DN28842_c0_g1,339.6,294
EOG09360595,Fragmented,C0000015875_TRINITY_DN3685_c0_g1,613.8,373
EOG0936059C,Missing,,,
EOG0936059L,Duplicated,C0000018557_TRINITY_DN2478_c0_g1,752.8,447
EOG0936059L,Duplicated,C0000019097_TRINITY_DN24490_c0_g1,837.4,523
EOG093605A0,Missing,,,
EOG093605AK,Duplicated,C0000018655_TRINITY_DN7786_c0_g2,1112.1,557
EOG093605AK,Duplicated,C0000018664_TRINITY_DN7786_c0_g1,1112.1,557
EOG093605BP,Missing,,,
EOG093605BU,Missing,,,
EOG093605C3,Missing,,,
EOG093605CQ,Missing,,,
EOG093605DD,Fragmented,C0000019234_TRINITY_DN6341_c0_g1,502.6,350
EOG093605DE,Missing,,,
EOG093605DF,Fragmented,C0000014012_TRINITY_DN4919_c0_g1,253.7,274
EOG093605DG,Complete,C0000016312_TRINITY_DN500_c0_g1,910.3,437
EOG093605E3,Missing,,,
EOG093605E8,Fragmented,C0000011614_TRINITY_DN30257_c0_g1,542.0,270
EOG093605E9,Missing,,,
EOG093605FL,Complete,C0000017866_TRINITY_DN5498_c0_g1,439.6,415
EOG093605GO,Missing,,,
EOG093605I3,Missing,,,
EOG093605IQ,Duplicated,C0000018416_TRINITY_DN6261_c0_g1,833.7,437
EOG093605IQ,Duplicated,C0000018445_TRINITY_DN6261_c0_g2,833.7,437
EOG093605IT,Missing,,,
EOG093605J6,Complete,C0000019795_TRINITY_DN11255_c0_g1,1012.8,489
EOG093605K4,Complete,C0000019482_TRINITY_DN10538_c0_g1,436.3,410
EOG093605M5,Fragmented,C0000019468_TRINITY_DN11913_c0_g1,992.8,546
EOG093605ME,Complete,C0000019394_TRINITY_DN14894_c0_g1,935.1,527
EOG093605MM,Complete,C0000019900_TRINITY_DN16517_c0_g1,309.8,449
EOG093605MS,Fragmented,C0000016087_TRINITY_DN12244_c0_g1,601.3,339
EOG093605MY,Missing,,,
EOG093605NL,Complete,C0000019756_TRINITY_DN33563_c0_g1,619.1,397
EOG093605OJ,Missing,,,
EOG093605OT,Complete,C0000019324_TRINITY_DN9857_c0_g1,954.1,508
EOG093605PB,Complete,C0000017493_TRINITY_DN1939_c0_g1,714.1,421
EOG093605PH,Complete,C0000020428_TRINITY_DN8409_c0_g1,391.9,364
EOG093605PR,Fragmented,C0000000841_TRINITY_DN20674_c0_g1,132.3,129
EOG093605PS,Missing,,,
EOG093605QW,Complete,C0000019343_TRINITY_DN10985_c0_g1,848.0,438
EOG093605R5,Missing,,,
EOG093605RH,Missing,,,
EOG093605RL,Fragmented,C0000012582_TRINITY_DN12255_c0_g1,510.4,256
EOG093605SE,Fragmented,C0000017034_TRINITY_DN8645_c0_g1,44.8,112
EOG093605T0,Fragmented,C0000017467_TRINITY_DN11126_c0_g1,759.8,409
EOG093605TB,Missing,,,
EOG093605TG,Fragmented,C0000012938_TRINITY_DN3562_c1_g1,663.4,333
EOG093605TN,Fragmented,C0000003554_TRINITY_DN7320_c0_g1,141.5,94
EOG093605TV,Complete,C0000018988_TRINITY_DN15174_c0_g1,646.6,411
EOG093605UA,Missing,,,
EOG093605UB,Missing,,,
EOG093605UZ,Missing,,,
EOG093605VA,Missing,,,
EOG093605VH,Complete,C0000019739_TRINITY_DN24365_c0_g1,1082.5,573
EOG093605XN,Complete,C0000018641_TRINITY_DN29633_c0_g1,1000.2,483
EOG093605XW,Complete,C0000020288_TRINITY_DN15115_c0_g1,757.7,496
EOG093605Y2,Duplicated,C0000017633_TRINITY_DN3740_c0_g2,750.9,479
EOG093605Y2,Duplicated,C0000019570_TRINITY_DN3740_c0_g1,860.7,542
EOG093605YJ,Missing,,,
EOG093605YX,Missing,,,
EOG093605ZP,Complete,C0000018635_TRINITY_DN12359_c0_g1,1013.7,496
EOG09360604,Missing,,,
EOG09360607,Missing,,,
EOG0936060Z,Complete,C0000011958_TRINITY_DN3157_c0_g2,579.5,290
EOG0936061C,Missing,,,
EOG0936063C,Missing,,,
EOG09360640,Complete,C0000017071_TRINITY_DN9591_c0_g1,646.6,502
EOG0936064Q,Complete,C0000018198_TRINITY_DN20037_c0_g1,718.6,422
EOG0936065V,Missing,,,
EOG0936066R,Complete,C0000007770_TRINITY_DN9359_c2_g1,406.7,223
EOG0936066T,Missing,,,
EOG0936066Y,Complete,C0000017219_TRINITY_DN7747_c0_g1,1049.2,481
EOG09360676,Duplicated,C0000016886_TRINITY_DN2502_c0_g1,893.9,470
EOG09360676,Duplicated,C0000017201_TRINITY_DN2502_c0_g2,893.7,470
EOG09360677,Fragmented,C0000013335_TRINITY_DN4282_c0_g1,511.4,322
EOG09360679,Fragmented,C0000016524_TRINITY_DN10236_c0_g1,173.9,98
EOG0936067H,Complete,C0000016121_TRINITY_DN29085_c0_g1,849.8,494
EOG0936068L,Fragmented,C0000014817_TRINITY_DN15134_c0_g1,720.7,367
EOG0936068S,Missing,,,
EOG0936069Q,Missing,,,
EOG0936069S,Fragmented,C0000013334_TRINITY_DN3587_c0_g1,453.6,255
EOG0936069X,Missing,,,
EOG093606A7,Complete,C0000019840_TRINITY_DN11240_c0_g1,973.4,470
EOG093606AC,Missing,,,
EOG093606C9,Fragmented,C0000006293_TRINITY_DN32436_c0_g1,372.8,191
EOG093606CH,Complete,C0000015953_TRINITY_DN13478_c0_g1,748.1,386
EOG093606CI,Complete,C0000018901_TRINITY_DN9148_c0_g1,1012.2,496
EOG093606CK,Missing,,,
EOG093606D1,Complete,C0000015375_TRINITY_DN9764_c0_g2,708.8,438
EOG093606G1,Complete,C0000017916_TRINITY_DN34566_c0_g1,879.8,425
EOG093606G2,Complete,C0000014990_TRINITY_DN3800_c0_g1,680.6,375
EOG093606GA,Missing,,,
EOG093606K5,Fragmented,C0000009822_TRINITY_DN3937_c0_g1,508.3,285
EOG093606KG,Duplicated,C0000007672_TRINITY_DN19564_c0_g1,371.2,239
EOG093606KG,Duplicated,C0000013401_TRINITY_DN19564_c0_g2,397.5,263
EOG093606KR,Missing,,,
EOG093606L0,Missing,,,
EOG093606L8,Missing,,,
EOG093606LZ,Complete,C0000019722_TRINITY_DN11253_c0_g1,858.5,509
EOG093606MV,Complete,C0000015259_TRINITY_DN19989_c0_g1,483.8,276
EOG093606MY,Fragmented,C0000003829_TRINITY_DN9897_c0_g1,327.2,205
EOG093606N3,Complete,C0000018563_TRINITY_DN14706_c0_g1,896.4,433
EOG093606NA,Missing,,,
